S0,S101,S110,S111,S102,S103,S104,S105,S200,S201,S300,S600,S601,S602,S604,S701,S702,S704,S800,S801,S802,S900,S1100,S1400,S1500,S1501,S1502,S1001,S113,S114,S106,S107,S202
42683.12712375,2078.4,2099.48291015625,83,0,22.0707416534424,0,1.04528176784515,32.9055770874023,36.439,146.37791046799,1.19638743702402,1.19638743702402,1.126574687,1.12418374863077,1.34629255319149,1.47565425531915,0.89981914893617,30.0879103477965,30.0879103477965,,31.2417021276596,,,,,,32.3922456783293,,,133.003612099928,0.451115567860826,3.5527990261646
42683.1272398958,2078.8,2099.48291015625,83,0,21.679256439209,0,1.06240546703339,32.5350997924805,36.439,146.571744645216,1.19638274845752,1.19638274845752,1.126574687,1.1241722594608,1.34149431818182,1.47311931818182,0.905397727272727,30.0955528345975,30.0955528345975,,31.2440909090909,,,,,,32.3661754487476,,,140.484303027101,0.42709397923571,3.71481166354093
42683.1273553241,2079.2,2099.48291015625,83,0,21.2801170349121,0,1.08035004138947,31.9675163269043,36.439,147.863227828471,1.19637863326253,1.19637863326253,1.126574687,1.12416172298518,1.34231818181818,1.4735,0.907982954545454,30.106604532762,30.106604532762,,31.2368181818182,,,,,,32.3786480446063,,,144.101069340916,0.416374425772311,4.25401948616722
42683.1276238773,2079.6,2099.48291015625,83,0,20.8732814788818,0,1.12016952037811,31.892407989502,36.439,151.954807782661,1.19637333921358,1.19637333921358,1.126574687,1.12415845604504,1.34049494949495,1.4709696969697,0.909800505050506,30.1118965335921,30.1118965335921,,31.244705882353,,,,,,32.3869240706533,,,63.1004617608399,0.950864673976695,4.81796576675714
42683.128265463,2080,2099.48291015625,83,0,20.4741401672363,0.0767593383789063,1.13902842998505,30.9807563781738,36.4390000000001,143.608142970766,1.19635820356712,1.19635820356712,1.126574687,1.12417373598599,1.33603586065574,1.46350512295082,0.919120901639345,30.1338909962138,30.1338909962138,,31.253155737705,,,,,,32.3807405378297,,,25.9253513379849,2.31433700619093,5.44285878516025
42683.1293683912,2080.4,2099.48291015625,83,0,20.0749988555908,0,1.07505142688751,32.736540222168,36.4390000000002,140.151667684918,1.19633717300219,1.19633717300219,1.126574687,1.124179455367,1.32556459330144,1.45186124401914,0.936605861244017,30.1941793980211,30.1941793980211,,31.2823923444976,,,,,,32.3945545337947,,,15.0810657817132,3.97849865974023,5.02871382396643
42683.1299667245,2080.8,2099.48291015625,83,0,19.6758594512939,0,1.17989504337311,32.3268730163574,36.4390000000001,138.006543805633,1.19630775763277,1.19630775763277,1.12657468699999,1.12417623348403,1.31668421052631,1.44075986842105,0.958305921052631,30.2436257496215,30.2436257496215,,31.3064473684211,,,,,,32.38140144642,,,27.7924791629693,2.15885742499518,5.15208587726794
42683.1302954977,2081.2,2099.48291015625,83,0,19.2766799926758,0,1.13072168827057,35.2910003662109,36.439,148.155857661507,1.19629840214406,1.19629840214406,1.126574687,1.12418380187404,1.30709475806452,1.44365927419355,0.927870967741936,30.266296755883,30.266296755883,,31.3160483870968,,,,,,32.4053573067873,,,50.5921277643061,1.18595525927517,1.03001160357075
42683.1304436574,2081.6,2099.48291015625,83,0,18.8775386810303,0,1.11006224155426,33.9887756347656,36.439,131.095557794527,1.19629452681681,1.19629452681681,1.126574687,1.12416879754317,1.31822807017544,1.48210087719298,0.867780701754385,30.2865635386684,30.2865635386684,,31.3226315789473,,,,,,32.3850560063827,,,112.266230132219,0.534443883341735,1.95180512224164
42683.1305802778,2082,2099.48291015625,83,0,18.470703125,0.0767593383789063,1.09144675731659,33.5163909912109,36.439,139.113015027385,1.19628961148605,1.19628961148605,1.126574687,1.12418298160329,1.32567156862745,1.51168137254902,0.828450980392157,30.2972311880074,30.2972311880074,,31.3270588235294,,,,,,32.3745848924177,,,124.035918221463,0.48373084877617,2.73307240923713
